,ARI,AMI,Homogenity,Completeness,V-measure,Silhouette,
K-means,-0.0209,0.0160,0.0108,0.0688,0.0186,0.8573,
MiniBatchKMeans,-0.0709,0.0703,0.0638,0.0820,0.0718,0.6628,
GaussianMixture,-0.0041,-0.0013,0.0001,0.0001,0.0001,0.0656,
BayesianGaussianMixture,-0.0081,0.0007,0.0021,0.0019,0.0020,0.0923,
AgglomerativeClustering,-0.0041,0.0002,0.0019,0.0507,0.0037,0.9256,
SpectralClustering,-0.0529,0.0548,0.0537,0.0590,0.0563,0.5954,
DBSCAN,0.0001,0.0041,0.9772,0.0928,0.1696,0.0624,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,K-means,MiniBatchKMeans,GaussianMixture,BayesianGaussianMixture,AgglomerativeClustering,SpectralClustering,DBSCAN
ARI,-0.0209,-0.0709,-0.0041,-0.0081,-0.0041,-0.0529,0.0001
AMI,0.0160,0.0703,-0.0013,0.0007,0.0002,0.0548,0.0041
Homogenity,0.0108,0.0638,0.0001,0.0021,0.0019,0.0537,0.9772
Completeness,0.0688,0.0820,0.0001,0.0019,0.0507,0.0590,0.0928
V-measure,0.0186,0.0718,0.0001,0.0020,0.0037,0.0563,0.1696
Silhouette,0.8573,0.6628,0.0656,0.0923,0.9256,0.5954,0.0624